JD,RV,RV_err,source
2418367.5,19.1,1.0,Cape v10
2418375.5,18.2,1.0,Cape v10
2418384.5,18.7,1.0,Cape v10
2418564.5,18.6,1.0,Cape v10
2418571.5,20.0,1.0,Cape v10
2418574.74,19.8,1.0,Lick v16
2418599.5,19.3,1.0,Cape v10
2418619.5,19.2,1.0,Cape v10
2418637.76,25.7,1.0,Lick v16
2418668.8,18.4,1.0,Lick v16
2418673.59,19.1,1.0,Lick v16
2418674.72,18.9,1.0,Lick v16
2418675.7,19.0,1.0,Lick v16
2418717.5,19.6,1.0,Cape v10
2418724.5,20.3,1.0,Cape v10
2418727.5,21.2,1.0,Cape v10
2418731.5,19.6,1.0,Cape v10
2418735.5,21.3,1.0,Cape v10
2418749.5,17.9,1.0,Cape v10
2418902.5,19.0,1.0,Cape v10
2418916.5,18.7,1.0,Cape v10
2418927.5,20.3,1.0,Cape v10
2418950.5,20.9,1.0,Cape v10
2418969.5,20.9,1.0,Cape v10
2418972.5,21.8,1.0,Cape v10
2419027.92,20.32,1.0,Lick v16
2419083.5,24.0,1.0,Cape v10
2419089.5,24.4,1.0,Cape v10
2419091.5,23.8,1.0,Cape v10
2419092.5,23.5,1.0,Cape v10
2419094.5,24.8,1.0,Cape v10
2419096.5,24.5,1.0,Cape v10
2419103.5,24.6,1.0,Cape v10
2419106.5,23.3,1.0,Cape v10
2419108.5,24.6,1.0,Cape v10
2419123.68,22.2,1.0,Lick v16
2419124.67,22.8,1.0,Lick v16
2419276.5,21.8,1.0,Cape v10
2419279.5,22.8,1.0,Cape v10
2419284.5,22.1,1.0,Cape v10
2419307.95,21.7,1.0,Lick v16
2419308.5,22.4,1.0,Cape v10
2419311.5,21.6,1.0,Cape v10
2419406.66,25.8,1.0,Lick v16
2419412.66,26.6,1.0,Lick v16
2419412.68,27.6,1.0,Lick v16
2419438.5,23.9,1.0,Cape v10
2419444.5,24.4,1.0,Cape v10
2419449.5,23.0,1.0,Cape v10
2419453.5,23.7,1.0,Cape v10
2419455.5,27.2,1.0,Cape v10
2419484.5,23.2,1.0,Cape v10
2419486.5,23.5,1.0,Cape v10
2419490.5,22.6,1.0,Cape v10
2419651.5,20.7,1.0,Cape v10
2419655.5,20.0,1.0,Cape v10
2419674.5,21.6,1.0,Cape v10
2419675.5,22.6,1.0,Cape v10
2419679.5,21.3,1.0,Cape v10
2419689.5,20.6,1.0,Cape v10
2419690.5,20.4,1.0,Cape v10
2419698.5,20.0,1.0,Cape v10
2419801.5,25.4,1.0,Cape v10
2419812.5,23.4,1.0,Cape v10
2420035.93,20.55,1.0,Lick v16
2421266.66,23.1,1.0,Lick v16
2421287.63,24.1,1.0,Lick v16
2421287.67,23.8,1.0,Lick v16
2421622.59,22.0,1.0,Lick v16
2421624.6,21.2,1.0,Lick v16
2421966.84,21.0,1.0,Lick v16
2422291.82,19.0,1.0,Lick v16
2422678.78,18.9,1.0,Lick v16
2422680.74,19.2,1.0,Lick v16
2422681.74,19.4,1.0,Lick v16
2422737.59,21.3,1.0,Lick v16
2422961.9,21.6,1.0,Lick v16
2422967.88,23.15,1.0,Lick v16
2422967.9,23.05,1.0,Lick v16
2422980.85,22.15,1.0,Lick v16
2422980.87,22.3,1.0,Lick v16
2422989.87,20.7,1.0,Lick v16
2423059.78,19.4,1.0,Lick v16
2423063.77,21.3,1.0,Lick v16
2423063.83,19.6,1.0,Lick v16
2423063.86,19.2,1.0,Lick v16
2423070.78,20.5,1.0,Lick v16
2423074.64,25.5,1.0,Lick v16
2423080.65,28.6,1.0,Lick v16
2423365.968,21.3,1.0,Sanford1933
2423377.78,26.6,1.0,Lick v16
2423409.73,24.3,1.0,Lick v16
2423422.721,23.9,1.0,Sanford1933
2423422.766,23.3,1.0,Sanford1933
2423495.63,24.7,1.0,Lick v16
2423696.009,22.9,1.0,Sanford1933
2423696.035,23.9,1.0,Sanford1933
2423713.94,23.2,1.0,Sanford1933
2423747.849,20.9,1.0,Sanford1933
2423769.803,23.6,1.0,Sanford1933
2423769.828,22.6,1.0,Sanford1933
2423802.661,21.9,1.0,Sanford1933
2423802.687,21.9,1.0,Sanford1933
2423834.62,21.7,1.0,Sanford1933
2424100.81,20.2,1.0,Sanford1933
2424131.802,18.3,1.0,Sanford1933
2424159.658,18.6,1.0,Sanford1933
2424191.679,15.7,1.0,Sanford1933
2424191.71,16.8,1.0,Sanford1933
2424403.014,19.6,1.0,Sanford1933
2424467.72,17.65,1.0,Lick v16
2424472.63,18.1,1.0,Lick v16
2424480.936,19.2,1.0,Sanford1933
2424482.961,19.1,1.0,Sanford1933
2424508.888,21.1,1.0,Sanford1933
2424514.72,23.0,1.0,Lick v16
2424529.85,21.75,1.0,Lick v16
2424536.82,22.5,1.0,Lick v16
2424536.86,21.5,1.0,Lick v16
2424537.79,22.7,1.0,Sanford1933
2424579.66,21.3,1.0,Lick v16
2424579.71,21.4,1.0,Lick v16
2424597.701,18.9,1.0,Sanford1933
2424807.0,15.4,1.0,Sanford1933
2424835.92,16.1,1.0,Sanford1933
2424879.833,16.1,1.0,Sanford1933
2424903.696,18.1,1.0,Sanford1933
2424914.69,16.4,1.0,Sanford1933
2425164.0,21.65,1.0,Lick v16
2425176.0,22.5,1.0,Lick v16
2425177.0,22.6,1.0,Lick v16
2425189.95,19.4,1.0,Sanford1933
2425248.756,21.8,1.0,Sanford1933
2425248.806,22.4,1.0,Sanford1933
2425314.627,22.8,1.0,Sanford1933
2425343.622,23.0,1.0,Sanford1933
2425513.0,25.5,1.0,Lick v16
2425528.0,26.6,1.0,Lick v16
2425536.0,25.9,1.0,Lick v16
2425549.0,26.0,1.0,Lick v16
2425561.0,24.6,1.0,Lick v16
2425571.0,24.3,1.0,Lick v16
2425587.0,22.6,1.0,Lick v16
2425592.883,27.0,1.0,Sanford1933
2425609.876,22.8,1.0,Sanford1933
2425613.816,20.5,1.0,Sanford1933
2425696.712,23.7,1.0,Sanford1933
2425906.966,23.7,1.0,Sanford1933
2425929.848,21.0,1.0,Sanford1933
2425932.863,23.7,1.0,Sanford1933
2425945.0,23.8,1.0,Lick v16
2425948.0,23.1,1.0,Lick v16
2425966.906,21.8,1.0,Sanford1933
2426025.0,20.25,1.0,Lick v16
2426252.963,18.0,1.0,Sanford1933
2426290.93,19.3,1.0,Sanford1933
2426603.992,18.6,1.0,Sanford1933
2428527.0,22.5,1.0,Adams1956
2428589.0,22.8,1.0,Adams1956
2428829.0,20.0,1.0,Adams1956
2428890.0,22.1,1.0,Adams1956
2428972.0,21.0,1.0,Adams1956
2429212.0,16.2,1.0,Adams1956
2429213.0,17.4,1.0,Adams1956
2429324.0,23.1,1.0,Adams1956
2429643.5,21.2,0.6,Weymann1962
2429648.0,21.6,1.0,Adams1956
2429917.0,20.9,1.0,Adams1956
2430035.0,20.0,1.0,Adams1956
2430776.0,17.1,1.0,Adams1956
2431049.0,19.3,1.0,Adams1956
2431068.0,19.3,1.0,Adams1956
2431400.0,14.4,1.0,Adams1956
2431433.0,15.3,1.0,Adams1956
2431480.0,16.9,1.0,Adams1956
2431578.0,18.0,1.0,Adams1956
2431716.0,19.8,1.0,Adams1956
2431785.0,16.9,1.0,Adams1956
2431810.0,18.3,1.0,Adams1956
2432172.0,20.5,1.0,Adams1956
2434705.5,23.7,0.6,Weymann1962
2436940.5,19.9,0.6,Weymann1962
2436941.5,20.1,0.6,Weymann1962
2437293.5,16.6,0.6,Weymann1962
2437299.5,18.8,0.6,Boesgaard1975
2437300.5,16.3,0.6,Weymann1962
2437302.5,16.1,0.6,Weymann1962
2437321.5,17.3,0.6,Weymann1962
2438689.5,23.9,0.6,Boesgaard1975
2440902.5,24.3,0.6,Boesgaard1975
2440904.5,21.5,0.6,Boesgaard1975
2440996.5,22.8,0.6,Boesgaard1975
2441291.5,20.8,0.6,Boesgaard1975
2441679.5,21.75,0.6,Boesgaard1975
2441721.5,25.0,0.6,Boesgaard1975
2442316.13,22.4,0.5,Boesgaard1979
2442317.15,22.9,0.4,Boesgaard1979
2442344.14,23.5,0.3,Boesgaard1979
2442346.09,23.0,0.4,Boesgaard1979
2442378.06,22.6,0.3,Boesgaard1979
2442379.99,23.1,0.4,Boesgaard1979
2442661.13,20.5,0.4,Boesgaard1979
2442728.62,21.9,0.6,Boesgaard1979
2442741.0852713175,21.03125,0.6,Goldberg1984
2442762.7906976743,21.203125,0.6,Goldberg1984
2442765.891472868,21.046875,0.6,Goldberg1984
2442790.6976744183,20.484375,0.6,Goldberg1984
2442815.503875969,21.203125,0.6,Goldberg1984
2442837.2093023253,21.90625,0.6,Goldberg1984
2443029.457364341,18.34375,0.6,Goldberg1984
2443082.1705426355,19.03125,0.6,Goldberg1984
2443218.6046511624,17.890625,0.6,Goldberg1984
2443420.1550387596,17.0,0.6,Goldberg1984
2443460.4651162787,16.171875,0.6,Goldberg1984
2443494.5736434106,16.000000000000004,0.6,Goldberg1984
2443572.0930232555,14.203124999999998,0.6,Goldberg1984
2443587.5968992244,17.015625,0.6,Goldberg1984
2443795.348837209,17.921875,0.6,Goldberg1984
2443823.2558139535,17.0,0.6,Goldberg1984
2443851.1627906975,17.15625,0.6,Goldberg1984
2444198.449612403,22.125,0.6,Goldberg1984
2444558.1395348837,21.9375,0.6,Goldberg1984
2444632.5581395347,20.40625,0.6,Goldberg1984
2445892.0,22.81,0.6,Smith1989
2445992.0,25.37,0.6,Smith1989
2445993.0,25.37,0.6,Smith1989
2446018.0,26.07,0.6,Smith1989
2446025.0,25.49,0.6,Smith1989
2446035.0,25.16,0.6,Smith1989
2446071.0,25.89,0.6,Smith1989
2446082.0,21.9,0.6,Smith1989
2446114.0,19.7,0.6,Smith1989
2446125.0,19.83,0.6,Smith1989
2446135.0,19.68,0.6,Smith1989
2446168.0,20.61,0.6,Smith1989
2446332.0,22.17,0.6,Smith1989
2446342.0,21.78,0.6,Smith1989
2446349.0,22.51,0.6,Smith1989
2446397.0,23.81,0.6,Smith1989
2446403.0,23.94,0.6,Smith1989
2446412.0,23.52,0.6,Smith1989
2446413.0,23.74,0.6,Smith1989
2446439.0,23.09,0.6,Smith1989
2446448.0,23.4,0.6,Smith1989
2446456.0,24.58,0.6,Smith1989
2446474.0,23.86,0.6,Smith1989
2446475.0,22.86,0.6,Smith1989
2446478.0,23.07,0.6,Smith1989
2446479.0,22.79,0.6,Smith1989
2446485.0,22.1,0.6,Smith1989
2446488.0,21.84,0.6,Smith1989
2446492.0,20.04,0.6,Smith1989
2446493.0,20.67,0.6,Smith1989
2446494.0,21.69,0.6,Smith1989
2446495.0,21.03,0.6,Smith1989
2446496.0,21.04,0.6,Smith1989
2446504.0,22.11,0.6,Smith1989
2446505.0,19.78,0.6,Smith1989
2446529.0,22.3,0.6,Smith1989
2446538.0,20.05,0.6,Smith1989
2446547.0,22.34,0.6,Smith1989
2446548.0,21.43,0.6,Smith1989
2446555.0,19.96,0.6,Smith1989
2446564.0,21.54,0.6,Smith1989
2446565.0,22.07,0.6,Smith1989
2446724.0,20.83,0.6,Smith1989
2446742.0,20.77,0.6,Smith1989
2446754.0,21.54,0.6,Smith1989
2446763.0,21.49,0.6,Smith1989
2446783.0,21.36,0.6,Smith1989
2446784.0,23.17,0.6,Smith1989
2446805.0,23.23,0.6,Smith1989
2446809.0,23.27,0.6,Smith1989
2446810.0,23.57,0.6,Smith1989
2446814.0,22.99,0.6,Smith1989
2446819.0,22.36,0.6,Smith1989
2446821.0,23.16,0.6,Smith1989
2446822.0,23.23,0.6,Smith1989
2446827.0,21.51,0.6,Smith1989
2446828.0,23.18,0.6,Smith1989
2447090.0,23.98,0.6,Smith1989
2447109.0,24.7,0.6,Smith1989
2447132.0,25.2,0.6,Smith1989
2447141.0,24.71,0.6,Smith1989
2447153.0,25.64,0.6,Smith1989
2447159.0,24.94,0.6,Smith1989
2447159.1,25.12,0.6,Smith1989
2447171.0,25.38,0.6,Smith1989
2447178.0,23.66,0.6,Smith1989
2447178.1,23.89,0.6,Smith1989
2447186.0,24.38,0.6,Smith1989
2447207.0,24.1,0.6,Smith1989
2447221.0,23.76,0.6,Smith1989
2447222.0,24.73,0.6,Smith1989
2447234.0,23.92,0.6,Smith1989
2447235.0,24.47,0.6,Smith1989
2447261.0,21.85,0.6,Smith1989
2447384.0,20.25,0.6,Smith1989
2447440.0,24.39,0.6,Smith1989
2447441.0,24.57,0.6,Smith1989
2447479.0,25.46,0.6,Smith1989
2447480.0,24.99,0.6,Smith1989
2447486.0,26.06,0.6,Smith1989
2447496.0,26.77,0.6,Smith1989
2447510.0,27.09,0.6,Smith1989
2447537.0,26.86,0.6,Smith1989
2447541.0,27.46,0.6,Smith1989
2447547.0,26.78,0.6,Smith1989
2447550.0,26.3,0.6,Smith1989
2447582.0,26.69,0.6,Smith1989
2447599.0,26.51,0.6,Smith1989
2447599.0,26.27,0.6,Smith1989
2447604.0,26.66,0.6,Smith1989
2447627.0,25.15,0.6,Smith1989
2447627.0,25.39,0.6,Smith1989
2447779.0,24.45,0.6,Smith1989
2447784.0,25.0,0.6,Smith1989
2447808.0,25.1,0.6,Smith1989
2447840.0,26.35,0.6,Smith1989
2447844.0,27.4,0.6,Smith1989
2447865.0,29.91,0.6,Smith1989
2447868.0,26.66,0.6,Smith1989
2447900.0,29.77,0.6,Smith1989
2447904.0,28.63,0.6,Smith1989
2447916.0,29.48,0.6,Smith1989
2447927.0,28.14,0.6,Smith1989
2447974.0,26.3,0.6,Smith1989
2447974.1,25.98,0.6,Smith1989
2448130.0,25.14,0.6,Smith1989
2448141.0,25.25,0.6,Smith1989
2448142.0,25.45,0.6,Smith1989
2448190.0,27.85,0.6,Smith1989
2448201.0,27.47,0.6,Smith1989
2448226.0,28.97,0.6,Smith1989
2448271.9,28.51,0.6,Smith1989
2448286.9,27.76,0.6,Smith1989
2448313.1,25.61,0.6,Smith1989
2448319.8,26.69,0.6,Smith1989
2448323.8,26.74,0.6,Smith1989
2448330.8,25.97,0.6,Smith1989
2448333.8,26.05,0.6,Smith1989
2448354.7,26.08,0.6,Smith1989
2448366.7,24.24,0.6,Smith1989
2448371.7,24.45,0.6,Smith1989
2448492.0,22.62,0.6,Smith1989
2448501.0,23.46,0.6,Smith1989
2448504.0,25.56,0.6,Smith1989
2448538.0,25.73,0.6,Smith1989
2448559.0,26.53,0.6,Smith1989
2448561.0,25.19,0.6,Smith1989
2448572.0,27.52,0.6,Smith1989
2448582.8,27.84,0.6,Smith1989
2448587.8,27.57,0.6,Smith1989
2448596.0,27.92,0.6,Smith1989
2448630.9,27.39,0.6,Smith1989
2448635.9,26.86,0.6,Smith1989
2448645.0,26.74,0.6,Smith1989
2448647.8,26.25,0.6,Smith1989
2448657.9,24.77,0.6,Smith1989
2448692.5,24.12,0.6,Smith1989
2448693.8,24.26,0.6,Smith1989
2448695.7,24.45,0.6,Smith1989
2448704.7,23.4,0.6,Smith1989
2448707.7,22.99,0.6,Smith1989
2448719.7,23.05,0.6,Smith1989
2448727.7,22.99,0.6,Smith1989
2448739.7,23.74,0.6,Smith1989
2448742.7,24.1,0.6,Smith1989
2448849.0,22.05,0.6,Smith1989
2448852.0,23.73,0.6,Smith1989
2448861.0,22.91,0.6,Smith1989
2448912.0,23.85,0.6,Smith1989
2448922.0,23.18,0.6,Smith1989
2448955.0,23.33,0.6,Smith1989
2449017.0,24.86,0.6,Smith1989
2449020.0,25.34,0.6,Smith1989
2449030.0,25.01,0.6,Smith1989
2449063.0,25.45,0.6,Smith1989
2449063.1,25.16,0.6,Smith1989
2449067.0,25.0,0.6,Smith1989
2449075.0,24.7,0.6,Smith1989
2449080.0,23.88,0.6,Smith1989
2449099.7,24.0,0.6,Smith1989
2449103.7,23.78,0.6,Smith1989
2449269.0,29.56,0.6,Smith1989
2449280.0,29.45,0.6,Smith1989
2449292.0,28.73,0.6,Smith1989
2449296.0,28.84,0.6,Smith1989
2449307.8,27.21,0.6,Smith1989
2449326.8,28.31,0.6,Smith1989
2449331.8,27.81,0.6,Smith1989
2449340.8,28.07,0.6,Smith1989
2449355.6,27.84,0.6,Smith1989
2449360.7,27.57,0.6,Smith1989
2449379.8,27.85,0.6,Smith1989
2449384.7,28.13,0.6,Smith1989
2449415.6,26.98,0.6,Smith1989
2449420.6,27.13,0.6,Smith1989
2449427.6,26.91,0.6,Smith1989
2449432.6,26.61,0.6,Smith1989
2449439.7,26.71,0.6,Smith1989
2449451.6,26.45,0.6,Smith1989
2449456.6,26.44,0.6,Smith1989
2449456.7,26.84,0.6,Smith1989
2449464.7,26.38,0.6,Smith1989
2449468.6,25.95,0.6,Smith1989
2449475.6,25.57,0.6,Smith1989
2449475.7,25.36,0.6,Smith1989
2449568.7,21.96,0.6,Smith1989
2449610.0,26.47,0.6,Smith1989
2449612.0,25.83,0.6,Smith1989
2449620.0,25.42,0.6,Smith1989
2449621.9,26.35,0.6,Smith1989
2449625.0,26.23,0.6,Smith1989
2449643.8,26.2,0.6,Smith1989
2449648.8,26.41,0.6,Smith1989
2449656.9,26.17,0.6,Smith1989
2449667.8,26.52,0.6,Smith1989
2449670.0,26.61,0.6,Smith1989
2449672.7,25.26,0.6,Smith1989
2449672.8,25.59,0.6,Smith1989
2449703.6,26.78,0.6,Smith1989
2449706.7,26.49,0.6,Smith1989
2449706.8,26.74,0.6,Smith1989
2449708.6,27.29,0.6,Smith1989
2449708.7,27.01,0.6,Smith1989
2449715.7,26.99,0.6,Smith1989
2449715.8,26.73,0.6,Smith1989
2449720.7,26.55,0.6,Smith1989
2449768.6,28.59,0.6,Smith1989
2449787.7,26.31,0.6,Smith1989
2450157.5921,21.41,0.1,OakRidge2005
2450171.5465,21.81,0.1,OakRidge2005
2450176.5586,21.38,0.1,OakRidge2005
2450186.5463,21.33,0.1,OakRidge2005
2450317.866,22.41,0.1,OakRidge2005
2450336.8935,19.59,0.1,OakRidge2005
2450347.91,18.44,0.1,OakRidge2005
2450379.9198,18.1,0.1,OakRidge2005
2450443.7522,19.96,0.1,OakRidge2005
2450447.7537000002,20.26,0.1,OakRidge2005
2450460.7418,19.7,0.1,OakRidge2005
2450475.6955,19.9,0.1,OakRidge2005
2450486.7338,19.99,0.1,OakRidge2005
2450492.6107,19.78,0.1,OakRidge2005
2450500.5958,19.4,0.1,OakRidge2005
2450527.5858,20.42,0.1,OakRidge2005
2450536.5832,20.62,0.1,OakRidge2005
2450691.8692,23.95,0.1,OakRidge2005
2450714.7365,24.42,0.1,OakRidge2005
2450715.9169,24.88,0.1,OakRidge2005
2450716.9116,24.36,0.1,OakRidge2005
2450718.9035,24.84,0.1,OakRidge2005
2450721.9084,24.5,0.1,OakRidge2005
2450724.9153,25.52,0.1,OakRidge2005
2450727.8552,23.71,0.1,OakRidge2005
2450755.8824,24.29,0.1,OakRidge2005
2450773.8622,24.75,0.1,OakRidge2005
2450792.7775,23.56,0.1,OakRidge2005
2450801.6531,22.73,0.1,OakRidge2005
2450814.777,21.77,0.1,OakRidge2005
2450824.7614,21.52,0.1,OakRidge2005
2450843.6639,21.25,0.1,OakRidge2005
2450854.7054,20.72,0.1,OakRidge2005
2450889.6485,21.97,0.1,OakRidge2005
2450899.497,20.32,0.1,OakRidge2005
2450910.5811,21.22,0.1,OakRidge2005
2450925.5131,20.46,0.1,OakRidge2005
2451077.8367,23.26,0.1,OakRidge2005
2451093.8261,23.11,0.1,OakRidge2005
2451102.9153,23.52,0.1,OakRidge2005
2451109.8382,23.7,0.1,OakRidge2005
2451119.8451,23.93,0.1,OakRidge2005
2451141.8455,23.16,0.1,OakRidge2005
2451150.7095,22.82,0.1,OakRidge2005
2451184.7565,24.1,0.1,OakRidge2005
2451196.7412,24.47,0.1,OakRidge2005
2451204.5742,25.13,0.1,OakRidge2005
2451240.6603,23.04,0.1,OakRidge2005
2451254.525,21.58,0.1,OakRidge2005
2451261.5338,21.46,0.1,OakRidge2005
2451492.8076,20.59,0.1,OakRidge2005
2451507.761,18.95,0.1,OakRidge2005
2451522.7978,21.18,0.1,OakRidge2005
2451537.7846,20.92,0.1,OakRidge2005
2451559.5854,20.72,0.1,OakRidge2005
2451576.5507,20.66,0.1,OakRidge2005
2451609.5728,20.48,0.1,OakRidge2005
2451630.577,20.77,0.1,OakRidge2005
2451866.8062,20.56,0.1,OakRidge2005
2451885.7788,22.5,0.1,OakRidge2005
2451897.6975,20.88,0.1,OakRidge2005
2451932.6481,20.18,0.1,OakRidge2005
2451964.677,20.86,0.1,OakRidge2005
2451994.6067,21.9,0.1,OakRidge2005
2452209.8981,20.71,0.1,OakRidge2005
2452266.7094,19.45,0.1,OakRidge2005
2452288.714,19.49,0.1,OakRidge2005
2452303.624,19.22,0.1,OakRidge2005
2452315.5929,20.28,0.1,OakRidge2005
2452341.5698,21.38,0.1,OakRidge2005
2452364.5533,22.68,0.1,OakRidge2005
2452536.663124336,21.05580357142857,0.5,Gray2008
2452536.8777,21.27,0.1,OakRidge2005
2452543.039319873,20.6875,0.5,Gray2008
2452546.8831,20.57,0.1,OakRidge2005
2452547.821466525,20.486607142857142,0.5,Gray2008
2452547.9044,20.15,0.1,OakRidge2005
2452548.8888,20.44,0.1,OakRidge2005
2452549.9175,20.41,0.1,OakRidge2005
2452553.9024,19.72,0.1,OakRidge2005
2452555.9236,18.72,0.1,OakRidge2005
2452556.8967,19.25,0.1,OakRidge2005
2452562.1679064827,20.151785714285715,0.5,Gray2008
2452562.8616,19.39,0.1,OakRidge2005
2452564.897,19.14,0.1,OakRidge2005
2452566.9233,20.23,0.1,OakRidge2005
2452570.1381509034,19.716517857142858,0.5,Gray2008
2452573.326248672,19.381696428571427,0.5,Gray2008
2452574.920297556,19.046875,0.5,Gray2008
2452586.6796,20.21,0.1,OakRidge2005
2452647.7116,18.8,0.1,OakRidge2005
2452656.5579,19.49,0.1,OakRidge2005
2452664.6131,18.04,0.1,OakRidge2005
2452668.6217,18.23,0.1,OakRidge2005
2452676.9394261427,17.808035714285715,0.5,Gray2008
2452682.5062,18.0,0.1,OakRidge2005
2452685.6806,17.8,0.1,OakRidge2005
2452691.2858661003,17.841517857142858,0.5,Gray2008
2452695.5273,18.82,0.1,OakRidge2005
2452697.6234,17.69,0.1,OakRidge2005
2452698.5251,18.26,0.1,OakRidge2005
2452702.5748,17.77,0.1,OakRidge2005
2452703.5525,17.97,0.1,OakRidge2005
2452706.5247,18.92,0.1,OakRidge2005
2452713.6025504787,18.24330357142857,0.5,Gray2008
2452713.6226,18.71,0.1,OakRidge2005
2452718.384697131,19.046875,0.5,Gray2008
2452727.5556,19.52,0.1,OakRidge2005
2452743.8894792777,22.83035714285714,0.5,Gray2008
2452758.5135,21.3,0.1,OakRidge2005
2452900.106269926,23.734375,0.5,Gray2008
2452919.2348565357,22.93080357142857,0.5,Gray2008
2452932.9335,22.16,0.1,OakRidge2005
2452957.492029756,23.232142857142854,0.5,Gray2008
2452976.6206163657,24.270089285714285,0.5,Gray2008
2452990.7371,23.6,0.1,OakRidge2005
2453000.531349628,23.801339285714285,0.5,Gray2008
2453000.6782,23.15,0.1,OakRidge2005
2453012.6531,22.51,0.1,OakRidge2005
2453049.5831,21.06,0.1,OakRidge2005
2453058.5956,20.66,0.1,OakRidge2005
2453062.699256111,20.720982142857142,0.5,Gray2008
2453104.144527099,20.95535714285714,0.5,Gray2008
2453274.707757705,23.801339285714285,0.5,Gray2008
2453284.27205101,23.265625,0.5,Gray2008
2453325.717321998,21.05580357142857,0.5,Gray2008
2453400.5977,19.3,0.1,OakRidge2005
2453403.825717322,20.08482142857143,0.5,Gray2008
2453428.5628,19.02,0.1,OakRidge2005
2453442.082890542,19.783482142857142,0.5,Gray2008
2453478.746014878,19.582589285714285,0.5,Gray2008
2453636.5568544106,21.859375,0.5,Gray2008
2453749.7343251863,18.109375,0.5,Gray2008
2453762.4867162597,17.54017857142857,0.5,Gray2008
2453802.3379383637,15.263392857142858,0.5,Gray2008
2453823.0605738577,15.899553571428573,0.5,Gray2008
2453835.812964931,16.736607142857142,0.5,Gray2008
2453846.9713071203,17.473214285714285,0.5,Gray2008
2454038.25717322,22.495535714285715,0.5,Gray2008
2454062.1679064827,22.863839285714285,0.5,Gray2008
2454095.64293305,23.098214285714285,0.5,Gray2008
2454106.8012752393,22.897321428571427,0.5,Gray2008
2454180.1275239107,17.741071428571427,0.5,Gray2008
2454192.879914984,17.27232142857143,0.5,Gray2008
2454216.7906482466,17.171875,0.5,Gray2008
2454227.948990436,17.741071428571427,0.5,Gray2008
2454754.586625,21.285886,0.0055875435,STELLA
2454756.599034,21.486886,0.0055867854,STELLA
2454760.569502,21.677702,0.0056144355,STELLA
2454764.557216,22.032518,0.0053416136,STELLA
2454774.688162,22.686025,0.0059397937,STELLA
2454774.689556,22.691598,0.0060937599,STELLA
2454774.753141,22.658577,0.0056356784,STELLA
2454777.514863,22.872315,0.0065456413,STELLA
2454777.516244,22.855252,0.0062738062,STELLA
2454777.517634,22.841233,0.0059351635,STELLA
2454778.516927,22.91355,0.0060027614,STELLA
2454778.518321,22.89622,0.0059315429,STELLA
2454778.64765,22.887399,0.0061437652,STELLA
